Subassembly ,Part,Link,Cost Per,QTY,Source,Preowned,Total Cost,Shipping (Per Supplier),Tax(6.5%),Total
Airframe and Legs,"DragonPlate Carbon Tube ~ .254""OD x .158""ID x 24""",https://dragonplate.com/dragonplate-carbon-tube-254od-x-158id-x-24,$5.52,8,Dragon Plate,FALSE,$44.16,$15,,
Airframe and Legs,LOC 3in Body Tube,https://locprecision.com/collections/rocket-components/products/cardboard-airframes?variant=39778656125119,$14.16,1,LOC Precision,FALSE,$14.16,$14,,
Gimbal,LOC 24mm Motor Mount Tube,https://locprecision.com/collections/rocket-components/products/motor-mount-tubing?variant=39778656878783,$1.75,3,LOC Precision,FALSE,$5.25,,,
Airframe and Legs,"Button Head Hex Drive Screw, Passivated 18-8 Stainless Steel, M3 x 0.50 mm Thread, 35mm Long",https://www.mcmaster.com/92095A201,$4.02,1,McMaster,FALSE,$4.02,$20,,
Airframe and Legs,"Button Head Hex Drive Screw, Passivated 18-8 Stainless Steel, M3 x 0.50 mm Thread, 10mm Long",https://www.mcmaster.com/92095A182,$7.19,1,McMaster,FALSE,$7.19,,,
Airframe and Legs,Medium-Strength Steel Nylon-Insert Locknut,https://www.mcmaster.com/90576A102/,$4.82,1,McMaster,FALSE,$4.82,,,
Airframe and Legs,"Clear Plastic Syringe with Luer Slip Connection, 10 ml Capacity",https://www.mcmaster.com/7181N23,$7.65,1,McMaster,FALSE,$7.65,,,
Gimbal,"Alloy Steel Shoulder Screws, 3 mm Shoulder Diameter, 3 mm Shoulder Length, M2 x 0.4 mm Thread",https://www.mcmaster.com/92981A767,$3.45,5,McMaster,FALSE,$17.25,,,
Launch Hardware,Fire Wire Initiators: 3ft box of 80,https://electricmatch.com/blasting-law-enforcement-military/see/6/7/mjg-firewire-initiator--standard,$66.40,1,MJG Technologies,TRUE,0,,,
Flight Computer,PCB and Stencil (4L Minimum) (Includes Shipping),,$60.12,1,PCBWay,FALSE,$60.12,,,
Airframe and Legs,"PolyLite™ PETG (1.75mm, 1kg)",https://us.polymaker.com/products/polylite-petg?srsltid=AfmBOooqUozcru0N6uNNisWVJbWWdUIMz94A-WZ4c6kXgjwwUONE-xj2,$22.99,1,PolyMaker,TRUE,0,,,
Flight Computer,Male to Female Servo Extensions (12in),https://www.servocity.com/hitec-super-duty-extensions/,$4.99,2,ServoCity ,TRUE,0,,,
Gimbal,Hitech HS-5055MG,https://www.servocity.com/hs-5055mg-servo/,$23.99,2,ServoCity ,TRUE,0,,,
